id;title;type;genre;year;total_page;author;cover;synopsis
1;selfish;COMIC;HORROR;26759;15569;capability mmm through;https://marketplace.canva.com/EAFfSnGl7II/2/0/1003w/canva-elegant-dark-woods-fantasy-photo-book-cover-vAt8PH1CmqQ.jpg;er
2;whether within confirmation;HARDCOVER;RELIGION;3854;24824;eek ah punctually;https://marketplace.canva.com/EAFaQMYuZbo/1/0/1003w/canva-brown-rusty-mystery-novel-book-cover-hG1QhA7BiBU.jpg;meanwhile huzzah
3;drat um;NEWSPAPER;HORROR;30458;27960;now high-level laughter;https://thebookcoverdesigner.com/wp-content/uploads/2024/08/210-324x519.jpg;pardon whenever provoke
4;yowza book;COMIC;POETRY;7652;7003;pile madly;https://cdn.gramedia.com/uploads/items/9786020648293_Keajaiban_Toko_Kelontong_Namiya_cov.jpg;afore until
5;beside bungalow hence;NEWSPAPER;SCIENCE_FICTION;29382;12570;whoa inasmuch warm;https://cdn.gramedia.com/uploads/items/Black_Showman_cov.jpg;rectangular kookily
6;whirlwind offensive ack;NEWSPAPER;ART;29364;454;half century;https://cdn.gramedia.com/uploads/picture_meta/2024/4/30/vxb55pzlczzlysewzrsn2h.jpg;appropriate
7;required while descriptive;PAPERBACK;BIOGRAPHY;25113;29490;for banter grit;https://i.pinimg.com/474x/8e/03/d2/8e03d2f303f4a6c0d9af780e0bd74bc1.jpg;impossible vaguely nylon
8;until cofactor;COMIC;SELF_HELP;25094;1588;qua yowza gosh;https://m.media-amazon.com/images/I/71s81OKIJ+L._AC_UF1000,1000_QL80_.jpg;profuse
9;always;PAPERBACK;DRAMA;30643;21781;anti sticker;https://cdn.gramedia.com/uploads/items/9786020639321_MALICE.jpg;since verifiable license
10;expansionism gosh phew;HARDCOVER;CHILDRENS;27549;15391;once closed spume;https://mpd-biblio-covers.imgix.net/9781250036278.jpg;plateau abaft luxurious
