id;street_address;posttal_code;city;state_province
1;so;ick;Lake Dax;till holiday
2;consequently;ridge;North Bridget;scene boohoo an
3;busily;pish;Lake Tevinboro;onto unfortunate portly
4;yet or stupendous;out over;Emiletown;oh
5;fooey fiercely knowledgeably;oof properly;New Nicole;decorate
6;anenst consequently beautifully;liven handsaw sightsee;Ovaberg;next infinite midst
7;till misrepresentation;mid;West Franzburgh;underestimate
8;within eek second-hand;from the which;Doraport;dark shiny mailman
9;ugh meh;rightfully;East Vinnieburgh;pricey
10;huzzah curtsy decisive;mission wobbly gee;Harrisburg;who puzzling randomization
